latitude,longitude,nome,tipo
38.767821,-9.099073,Lisboa Oriente,station
39.837942,-8.593388,Litém,halt
37.073748,-7.731283,Livramento,halt
41.216847,-8.155676,Livração,station
41.365601,-8.363488,Lordelo,station
37.10426,-8.058271,Loulé,station
40.016256,-8.815497,Louriçal,station
41.436927,-8.538213,Louro,halt
41.350946,-8.526487,Lousado,station
38.772928,-9.159255,Lumiar,station
40.390214,-8.385015,Luso - Buçaco,halt
37.088894,-7.699996,Luz,halt
40.653435,-8.458336,Macinhata,station
41.111487,-8.637766,Madalena,halt
38.897435,-9.291355,Mafra,station
38.928588,-9.258008,Malveira,station
41.253551,-8.628371,Mandim,station
40.586636,-7.760202,Mangualde,station
41.110637,-8.600035,Manuel Leão,station
41.180972,-8.136801,Marco De Canaveses,station
39.736404,-8.92684,Marinha Grande,station
41.161171,-8.604297,Marquês,station
39.687191,-8.945908,Martingança,station
40.140377,-8.67629,Marujal,halt
38.739031,-9.108757,Marvila,halt
39.368496,-8.554325,Mato Miranda,station
41.180122,-8.68859,Matosinhos Sul,station
41.526895,-8.458376,Mazagão,halt
40.388765,-7.28728,Maçainhas,halt
40.375417,-8.45385,Mealhada,halt
37.118582,-8.647467,Meia Praia,halt
41.248918,-8.258111,Meinedo,halt
41.187476,-8.693392,Mercado,station
37.255443,-8.290774,Messines - Alte,station
37.15416,-8.609664,Mexilhoeira Grande,station
41.508211,-8.581904,Midões,station
38.789574,-9.312642,Mira Sintra-Meleças,station
38.716426,-9.131552,Miradouro Da Graça,halt
41.067165,-8.649861,Miramar,halt
41.117587,-7.972524,Mirão,station
40.519346,-7.013308,Miuzela,halt
40.450464,-8.459392,Mogofores,station
40.574649,-7.809571,Moimenta-Alcafache,halt
38.644648,-8.995788,Moita,station
41.847915,-8.864334,Moledo Do Minho,halt
38.664539,-9.2003,Monte Da Caparica,station
40.982262,-8.625516,Monte De Paramos,halt
40.408115,-8.264408,Monte Dos Lobos,halt
38.703601,-9.406441,Monte Estoril,halt
37.190041,-7.448328,Monte Gordo,halt
39.85599,-8.847774,Monte Real,station
39.900328,-8.834416,Monte Redondo,halt
40.160074,-8.654094,Montemor,halt
40.390856,-8.241246,Mortágua,station
38.777654,-9.099487,Moscavide,halt
41.094619,-8.069196,Mosteirô,station
41.428973,-8.522083,Mouquim,halt
40.605294,-8.460076,Mourisca Do Vouga,halt
39.46785,-8.08505,Mouriscas-A,station
41.173685,-8.573822,Nau Vitória,station
40.530183,-7.84991,Nelas,station
41.403195,-8.319566,Nespereira,halt
41.454737,-8.544285,Nine,station
41.182413,-8.65218,Norteshopping / Sete Bicas,station
38.793269,-9.172982,Odivelas,station
38.688479,-9.318917,Oeiras,station
40.543549,-8.549914,Oiã,station
38.739465,-9.123946,Olaias,station
41.192926,-8.337694,Oleiros,halt
37.030361,-7.839967,Olhão,station
41.257334,-8.198969,Oliveira,halt
40.840175,-8.48177,Oliveira De Azeméis,station
40.510159,-8.498744,Oliveira Do Bairro,station
40.450375,-7.96334,Oliveirinha-Cabanas,station
40.572159,-8.476738,Oronhe,halt
39.191231,-9.177168,Outeiro,station
40.864042,-8.616675,Ovar,station
39.579598,-8.473758,Paialvo,halt
41.103567,-8.090874,Pala,station
38.571578,-8.872754,Palmela-A,halt
41.202262,-8.556902,Palmilheira,halt
40.338566,-8.431617,Pampilhosa,station
40.418965,-8.046021,Papízios,halt
41.160095,-8.372971,Parada,halt
40.481204,-8.480145,Paraimo,halt
40.975694,-8.636906,Paramos,halt
38.689741,-9.356402,Parede,halt
41.204364,-8.323532,Paredes,halt
38.664363,-9.16001,Parque Da Paz,station
37.080256,-7.984906,Parque Das Cidades,station
41.179072,-8.673571,Parque De Real,station
41.22913,-8.626583,Parque Maia,station
39.655535,-8.984922,Pataias,station
38.697106,-9.290535,Paço De Arcos,halt
40.972053,-8.583955,Paços De Brandão,station
39.294266,-9.162674,Paúl,halt
38.870558,-9.29547,Pedra Furada,halt
37.091422,-7.673138,Pedras D'El Rei,halt
41.180339,-8.666245,Pedro Hispano,station
38.662233,-8.619402,Pegões,station
39.967774,-8.633263,Pelariga,halt
41.217656,-8.294944,Penafiel,station
38.590055,-8.99524,Penalva,station
38.638162,-8.956258,Penteado,halt
40.18636,-8.584953,Pereira,halt
37.436416,-8.44675,Pereiras,station
41.3774,-8.324102,Pereirinhas,halt
38.988672,-9.1974,Pero Negro,station
41.208208,-8.647154,Pias,station
38.630116,-8.912832,Pinhal Novo,station
41.190395,-7.545135,Pinhão,station
38.634394,-8.743367,Poceirão,station
41.13029,-7.123487,Pocinho,station
39.916492,-8.630157,Pombal,station
39.265494,-8.013039,Ponte De Sor,station
37.133091,-7.648206,Porta Nova,halt
39.198918,-7.46112,Portalegre,station
41.300857,-8.548745,Portela,halt
38.802246,-9.376373,Portela De Sintra,halt
37.144649,-8.537489,Portimão,station
41.149192,-8.58471,Porto - Campanhã,station
41.145491,-8.609515,Porto - São Bento,station
41.121844,-7.910634,Porto De Rei,halt
37.163631,-8.388812,Poço Barreto,halt
38.666227,-9.179982,Pragal,station
37.086945,-7.66305,Praia Do Barril,halt
39.467224,-8.347567,Praia Do Ribatejo,station
38.517928,-8.837909,Praias Do Sado-A,halt
38.737684,-9.159247,Praça De Espanha,station
38.524932,-8.886522,Praça Do Quebedo,halt
41.174602,-8.603657,Pólo Universitário,station
38.859289,-9.064198,Póvoa,halt
40.356749,-8.412073,Quinta Do Valongo - Vacariça,halt
40.591037,-8.61269,Quintans,halt
41.172974,-8.641848,Ramalde,station
38.668959,-9.170155,Ramalha,station
39.139518,-9.215977,Ramalhal,station
38.720103,-9.154839,Rato,station
38.750959,-9.222956,Reboleira,halt
41.153819,-8.3992,Recarei-Sobreira,station
41.231565,-8.175231,Recesinhos,halt
41.160744,-7.866535,Rede,station
